boy_id,band_id,name,dob,hair_color,hair_frosted,hair_length,hair_style,eyes,facial_hair,accessories,top_style,bottom_style,height,instrument
115,20,Willie Taylor,3/29/1981,black,no,short,fade,brown,"mustache, soul patch",earrings,"other jacket, short-sleeve t-shirt",jeans,,
116,31,"Robi ""Draco"" Rosa",6/27/1970,brown,no,medium,high-top,brown,,,long-sleeve button down with bare chest,jeans,70,
117,31,Ricky Martin,12/24/1971,brown,no,medium,shaggy,brown,,,polo shirt,jeans,60,
118,31,Raymond Acevedo,12/21/1971,brown,no,medium,high-top,brown,,,long-sleeve button down,jeans,63,
119,31,Roy Rosello,05/01/1970,brown,no,long,shaggy,brown,,,short-sleeve button down,jeans,65,
120,31,Charlie Masso,6/13/1969,brown,no,medium,curly,brown,,,long-sleeve button down,jeans,70,
121,5,Sean Conlon,5/20/1981,black,no,short,fade,brown,,,long-sleeve turtleneck,jeans,,
122,5,"""Abz Love"" Abidin Breen",6/29/1979,black,no,short,spiked,brown,,earrings,short-sleeve t-shirt,overalls,68,
123,5,"Jason Paul ""J"" Brown",6/13/1976,black,no,short,crew,blue,"mustache, goatee","necklace, eyebrow ring","other jacket, short-sleeve t-shirt",jeans,71,
124,5,Scott Robinson,11/22/1979,black,no,short,spiked,blue,,earrings,zipped sweatshirt (over a t-shirt or tank top),jeans,,
125,5,"""Ritchie"" Neville Dobson",8/23/1979,brown,no,medium,shaggy,blue,,,"other jacket, short-sleeve t-shirt",jeans,69,
126,55,"James Lee ""Dallas""",02/07/1975,black,no,medium,spiked,blue,,"earrings, necklace",long-sleeve t-shirt,cargo pants,,
127,55,"Samuel ""Sammy"" Lopez Jr",09/08/1977,black,no,short,crew,brown,,,hoodie,cargo pants,,
128,55,"David ""DC"" Yeager",6/15/1976,blonde,no,short,fade,blue,goatee,necklace,short-sleeve t-shirt,cargo pants,,
129,54,Shane Filan,07/05/1979,brown,no,short,spiked,hazel,,,long-sleeve t-shirt,dress pants,68,
130,54,Kian Egan,4/29/1980,blonde,no,medium,bangs,blue,,necklace,short-sleeve button down,dress pants,69,
131,54,Brian McFadden,04/12/1980,blonde,no,long,bangs,blue,,,"other jacket, short-sleeve t-shirt",dress pants,74,
132,54,Mark Feehily,5/28/1980,brown,no,short,spiked,blue,,,"trenchcoat, short-sleeve t-shirt",dress pants,71,
133,54,Nicky Byrne,10/09/1978,blonde,no,short,spiked,blue,,,"leather jacket, short-sleeve t-shirt",dress pants,69,
134,24,PZ,,black,no,short,fade,brown,,,long-sleeve button down,dress pants,,
135,24,J-Dante,,black,,,bald,brown,mustache,earrings,long-sleeve button down,dress pants,,
136,34,Bobby Brown,02/06/1969,brown,no,short,fade,brown,mustache,glasses,"suit jacket, long-sleeve button down",dress pants,70,
137,34,Ricky Bell,9/18/1967,black,no,short,fade,brown,mustache,"glasses, necklace","suit jacket, long-sleeve button down",dress pants,65,
138,34,Johnny Gill,5/22/1966,black,no,short,fade,brown,"mustache, goatee",glasses,"suit jacket, long-sleeve button down",dress pants,72,
139,34,Ralph Tresvant,5/16/1968,black,no,short,fade,brown,"mustache, goatee","glasses, earrings","suit jacket, long-sleeve button down",dress pants,68,
140,34,Ronnie DeVoe,11/17/1967,black,no,short,fade,brown,,,"suit jacket, long-sleeve button down",dress pants,72,
141,34,Michael Bivins,08/10/1968,black,no,short,fade,brown,"mustache, goatee","glasses, necklace","suit jacket, long-sleeve button down",dress pants,66,
142,7,Jamie Jones,11/25/1971,black,no,short,fade,brown,,,long-sleeve button down,jeans,,
143,7,Delious Kennedy,12/21/1970,black,no,short,fade,brown,mustache,earrings,"windbreaker, t-shirt",jeans,,
144,7,Tony Borowiak,10/12/1972,brown,no,short,slick,brown,,glasses,long-sleeve button down,jeans,,
145,43,Darnell Van Rensalier,05/17/1970,black,no,medium,fade,brown,mustache,earrings,long-sleeve button down,jeans,,
146,53,John Poe,,black,no,short,fade,brown,mustache,suspenders,long-sleeve button down,dress pants,,
147,53,Shawn Poe,,black,no,short,high-top,unknown/can't tell,mustache,"earrings, necklace","vest, tank top",jeans,,
148,53,"John ""JC"" Clay",,black,no,short,crew,difficult to tell,mustache,earrings,"suit jacket, long-sleeve button down",dress pants,,
149,53,Demetrius Peete,,black,no,short,fade,brown,mustache,earrings,"suit jacket, long-sleeve button down",jeans,,
150,11,Howie Dorough,8/22/1973,brown,no,short,bangs,brown,,"earrings, necklace",long-sleeve button down with bare chest,dress pants,69,
151,11,Nick Carter,1/28/1980,blonde,no,medium,shaggy,blue,,,long-sleeve button down with bare chest,dress pants,72,
152,11,"""AJ"" McLean",01/09/1978,brown,no,short,crew,brown,"mustache, goatee","earrings, necklace",long-sleeve button down with bare chest,dress pants,69,
153,11,Kevin Richardson,10/03/1971,brown,no,medium,bangs,brown,"mustache, goatee",earrings,long-sleeve button down with bare chest,dress pants,73,
154,11,Brian Littrell,2/20/1975,strawberry blonde,no,short,bangs,blue,,earrings,long-sleeve button down with bare chest,dress pants,68,
155,12,Christian Burns,1/18/1974,brown,yes,short,spiked,blue,,,"other jacket, short-sleeve t-shirt",jeans,70,guitar
156,12,Mark Barry,10/26/1978,brown,no,short,spiked,brown,,,"other jacket, short-sleeve t-shirt",jeans,69,
157,12,"Stephen ""Ste"" McNally",07/04/1978,brown,no,short,spiked,brown,,,zipped sweatshirt (over a t-shirt or tank top),jeans,69,guitar
158,44,"Gary ""Big G"" Glenn",,black,no,short,high-top,brown,,"earrings, necklace, rings","suit jacket, long-sleeve button down",dress pants,,
159,44,"Gary ""Lil G"" Jenkins",,black,no,short,high-top,brown,,"earrings, necklace, rings",long-sleeve t-shirt,dress pants,,
160,44,"James ""Jimmy"" Gates, Jr.",,black,no,short,high-top,brown,goatee,"earrings, necklace, rings","suit jacket, long-sleeve button down",dress pants,,
161,44,Johnathen Rasboro,,black,no,short,high-top,brown,,earrings,long-sleeve t-shirt,dress pants,,
162,44,Timothy Cameron,,black,no,short,high-top,brown,,earrings,long-sleeve t-shirt,dress pants,,
163,47,Trevor Guthrie,02/11/1973,blonde,yes,short,spiked,blue,,,long-sleeve t-shirt,jeans,73,guitar
164,47,Dave Bowman,6/16/1972,brown,no,short,bangs,brown,goatee,earrings,"suit jacket, short-sleeve t-shirt",sweat pants,69,
165,47,Ken Lewko,08/04/1971,blonde,yes,short,spiked,green,,sunglasses,"suit jacket, long-sleeve button down",dress pants,69,keyboard
166,35,Jonathan Knight,11/29/1968,brown,no,short,feathered,hazel,,,"other jacket, short-sleeve t-shirt",jeans,71,
167,35,Jordan Knight,5/17/1970,brown,no,medium,"feathered, rat tail",brown,,,"leather jacket, short-sleeve t-shirt",jeans,71,
168,35,Danny Wood,5/14/1969,black,no,short,"high-top, rat tail",brown,,,"vest, short-sleeve t-shirt",cargo pants,68,
169,35,Donnie Wahlberg,8/17/1969,blonde,no,short,"feathered, rat tail",brown,,necklace,letterman jacket,jeans,70,
170,35,Joey McIntyre,12/31/1972,brown,no,short,curly,blue,,,"other jacket, short-sleeve t-shirt",jeans,70,
171,46,"""Jase4Real"" Oliver Dalyrimple",05/10/1980,black,no,short,curly,brown,,,"suit jacket, long-sleeve button down",dress pants,70,
172,112,"Marvin ""Slim"" Scandrick",1/21/1981,black,no,short,fade,brown,mustache,"glasses, headband, arm sweatband",short-sleeve t-shirt,jeans,,
173,46,Andre Dalyrimple,04/04/1974,black,no,short,fade,brown,mustache,,"suit jacket, long-sleeve button down",dress pants,,
174,46,Brian Dalyrimple,12/14/1975,black,no,short,fade,brown,,,"suit jacket, long-sleeve button down",dress pants,,
175,46,Christopher Dalyrimple,4/30/1973,black,no,short,fade,brown,,beret,"vest, long-sleeve button down",dress pants,,
176,112,Daron Jones,12/27/1976,black,no,short,curly,brown,mustache,"glasses, earrings, necklace, bandana",long-sleeve t-shirt,jeans,75,
177,112,Mike Marcel Keith,12/18/1978,black,no,short,fade,brown,mustache,"earrings, necklace, rings, headband, bandana",long-sleeve t-shirt,jeans,68,
178,112,"Quinnes ""Q"" Parker",3/24/1977,black,no,short,fade,brown,mustache,"glasses, earrings, arm sweatband",short-sleeve t-shirt,jeans,,
179,9,Marc Nelson,1/23/1971,black,no,short,fade,brown,goatee,"glasses, earrings, necklace",vest,dress pants,,
180,9,Kenny Terry,,black,no,short,cornrows,brown,goatee,,"suit jacket, long-sleeve turtleneck",dress pants,,
181,9,Shawn Rivera,11/04/1971,black,no,short,fade,brown,beard,,long-sleeve button down,dress pants,,
182,9,Darryl Anthony,,brown,no,medium,fade,brown,beard,"earrings, necklace","leather jacket, short-sleeve t-shirt",dress pants,,
183,9,Dion Allen,10/02/1970,black,no,short,fade,brown,goatee,earrings,"other jacket, short-sleeve t-shirt",dress pants,,
184,18,RM,09/12/1994,red,no,medium,shaggy,brown,,,"other jacket, short-sleeve t-shirt",dress pants,71,
185,18,Jin,12/04/1992,black,no,medium,shaggy,brown,,,"other jacket, short-sleeve t-shirt",dress pants,70,
186,18,Suga,03/09/1993,blue,no,medium,shaggy,brown,,"earrings, suspenders","long-sleeve button down with bare chest, short-sleeve t-shirt",acid wash jeans,68,
187,18,J-Hope,2/18/1994,red,no,medium,shaggy,brown,,,long-sleeve t-shirt,jeans,70,
188,18,V,12/30/1995,silver,no,medium,shaggy,brown,,earrings,long-sleeve button down,jeans,70,
189,18,Jungkook,09/01/1997,brown,no,medium,shaggy,,,earrings,"other jacket, short-sleeve t-shirt",acid wash jeans,70,
190,42,"Jawaan ""Smoke"" Peacock",2/15/1977,black,no,medium,crew,brown,mustache,earrings,"suit jacket, long-sleeve button down",dress pants,,
191,42,"""Static Major"" Ellis Garrett",11/11/1974,black,no,short,crew,brown,"beard, mustache","sunglasses, earrings, necklace","suit jacket, long-sleeve button down",dress pants,,
192,42,"Benjamin ""Black"" Bush",,black,no,short,crew,brown,"beard, mustache",tophat,"suit jacket, long-sleeve button down",dress pants,,
193,3,Evan Farmer,7/28/1972,brown,no,short,spiked,green,,,polo shirt,dress pants,70,
194,3,Michael Cuccione,01/05/1985,brown,no,short,slick,hazel,,,short-sleeve button down,dress pants,69,
195,3,Noah Bastian,8/26/1979,brown,yes,short,spiked,green,,earrings,"other jacket, short-sleeve t-shirt",jeans,69,
196,3,Kevin Farley,06/08/1965,brown,no,medium,shaggy,blue,,,short-sleeve button down,dress pants,70,
197,3,Alex Solowitz,12/15/1979,blonde,no,short,spiked,,,,short-sleeve button down,dress pants,,
198,15,"""Black"" Hannibal",11/24/1968,black,no,,,brown,mustache,"earrings, necklace",short-sleeve t-shirt,overalls,,
199,15,Teddy Riley,10/08/1967,black,no,short,fade,brown,"mustache, goatee",necklace,short-sleeve t-shirt,overalls,,
200,15,Eric Williams,01/06/1960,black,no,short,fade,brown,"mustache, goatee",necklace,short-sleeve t-shirt,overalls,,
201,15,Mark Middleton,,black,no,short,fade,brown,mustache,necklace,short-sleeve t-shirt,overalls,,
202,23,"Roderick ""Pooh"" Clark",,black,no,short,fade,brown,,earrings,"windbreaker, long-sleeve turtleneck",sweat pants,,
203,23,Tony Thompson,09/02/1975,black,no,short,high-top,brown,,earrings,"windbreaker, t-shirt",sweat pants,,
204,23,Treston Irby,,black,no,short,high-top,brown,,necklace,"long-sleeve turtleneck, windbreaker",sweat pants,,
205,23,Marcus Sanders,,black,no,short,high-top,brown,mustache,earrings,"windbreaker, t-shirt",sweat pants,,
206,23,Russell Neal,,black,no,short,high-top,brown,mustache,,"windbreaker, t-shirt",sweat pants,,
207,36,John Hampson,11/21/1971,brown,no,short,shaggy,blue,"mustache, goatee",,polo shirt,jeans,,guitar
208,36,Nick Dimichino,,brown,no,medium,curly,brown,,,short-sleeve button down,jeans,,bass
209,36,Vincent Tattanelli,,brown,no,short,spiked,brown,,,short-sleeve button down,jeans,,drums
210,36,Brian Desveaux,,brown,no,short,crew,blue,goatee,,polo shirt,jeans,,guitar
211,36,Jeremy Dean,,brown,no,short,crew,blue,"mustache, goatee",beanie hat,"short-sleeve t-shirt, long-sleeve t-shirt",jeans,,keyboard
212,52,Steve Russell,11/21/1969,black,no,short,high-top,brown,goatee,earrings,long-sleeve button down,dress pants,,
213,52,John Harreld,,black,no,medium,high-top,brown,,earrings,long-sleeve button down,dress pants,,
214,49,Khiry Abdulsamad,11/10/1973,black,no,short,high-top,brown,,baseball hat,long-sleeve t-shirt,jeans,,
215,49,Tajh Abdulsamad,12/08/1976,black,no,short,high-top,brown,,,polo shirt,jeans,,
216,49,Hakeem Abdulsamad,3/26/1975,black,no,medium,high-top,brown,,,short-sleeve t-shirt,jeans,,
217,52,Reggie Warren,,black,yes,medium,"high-top, ponytail",brown,mustache,earrings,long-sleeve button down,dress pants,,
218,49,Bilal Abdulsamad,4/17/1979,black,no,short,fade,brown,,baseball hat,short-sleeve t-shirt,jeans,,
219,52,Rodney Benford,,black,no,medium,"high-top, ponytail",brown,mustache,,long-sleeve button down,dress pants,,
220,52,Allen McNeil,,black,no,medium,high-top,brown,goatee,earrings,long-sleeve button down,dress pants,,
221,33,Michael Grant,01/07/1969,black,no,medium,fade,brown,,,tank top,jeans,,keyboard
222,33,Kelvin Grant,07/09/1971,black,no,short,fade,brown,,beret,"vest, tank top",jeans,,guitar
223,33,Dennis Seaton,03/02/1967,black,no,short,fade,brown,,sunglasses,tank top,jeans,,tambourine
224,33,"Frederick ""Junior"" Waite",5/23/1967,black,no,medium,fade,brown,,,"vest, tank top",jeans,,drums
225,33,Patrick Waite,5/16/1968,black,no,medium,fade,brown,,,tank top,jeans,,bass
226,45,Angel Lopez,,black,no,short,crew,brown,"beard, mustache, soul patch",sunglasses,"other jacket, short-sleeve t-shirt",dress pants,,
227,45,Pedro Quiles,,black,no,short,slick,brown,"beard, mustache, soul patch",,short-sleeve t-shirt,dress pants,,
228,45,Javier Montes,,black,no,short,slick,brown,five o'clock shadow,,vest,dress pants,,
229,45,George Montes,,black,yes,medium,spiked,brown,goatee,,"other jacket, short-sleeve t-shirt",dress pants,,
230,51,Max George,09/06/1988,brown,no,short,shaved,Gray,five o'clock shadow,,short-sleeve t-shirt,jeans,,
231,51,Siva Michael Kaneswaran,11/16/1988,black,no,medium,spiked,brown,,,long-sleeve button down,dress pants,,
232,51,Jay McGuiness,7/24/1990,brown,no,medium,curly,blue,,,short-sleeve button down,jeans,,
233,51,Tom Parker,08/04/1988,black,no,short,spiked,brown,,,polo shirt,dress pants,70,
234,51,Nathan Sykes,4/18/1993,brown,no,short,swept,blue,,necklace,short-sleeve button down,dress pants,69,
